,contractor_id,plan_name,primary_trade,ladder_use,scaffolds,confined_space,aerial_lift,cpr_training,excavation,fall_protection,investigation_prgm,fatality_2017,fatality_2018,restricted_day_17,restricted_day_18,lost_days_17,lost_days_18,recordable_17,recordable_18,work_hours_17,work_hours_18,emr_17,emr_18,flame_spark_activity,hoisting_rigging_eq,live_electrical_component,electrical_component,safety_health_program,safety_manager,emp_involvement_plan,emp_performance_evalution,osha_citation,fatality_2019,restricted_day_19,lost_days_19,recordable_19,dart_17,dart_18,dart_19,days_away_cases_17,days_away_cases_18,days_away_cases_19
16267,16268,2,325,3,3,3,1,3,1,2,2,0,0,0,0,0,0,0,0,6240,12480,0,0,1,1,1,1,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0
16268,16269,1,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16269,16270,1,227,3,3,3,3,1,3,2,2,0,0,0,0,0,0,0,0,47582,51696,0,0,1,1,2,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0
16270,16271,1,227,3,1,1,1,1,3,2,2,0,0,0,0,0,0,0,0,57212,57212,0,0,3,1,1,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
16271,16272,0,227,3,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,1920,1920,0,0,1,1,3,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
16272,16273,1,227,2,3,3,3,1,3,2,2,0,0,0,0,0,0,0,0,200000,200000,0,0,3,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
16273,16274,1,227,3,3,1,3,1,1,2,2,0,0,0,0,0,0,0,0,1000,2500,0,0,3,1,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
16274,16275,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16275,16276,2,227,3,3,1,3,3,3,2,2,0,0,0,0,0,0,0,0,15800,16640,0,0,3,3,1,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0
16276,16277,1,66,1,1,1,1,1,1,2,2,0,0,0,0,4,14,0,0,91200,94828,0,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0
