contractor_id,trade_id,total
6530,329,
6491,173,
6491,217,
6531,9,
6531,9,
6531,9,
6531,9,
6531,9,
6531,9,
1,159,94.24
1,159,94.24
1,159,94.24
1,159,94.24
1,159,94.24
1,159,94.24
1,638,94.24
1,638,94.24
1,638,94.24
1,638,94.24
6546,328,
6534,217,77.24
6534,217,77.24
21209,9,25.46
21209,112,25.46
21209,112,25.46
21209,112,25.46
21209,112,25.46
6534,217,77.24
6489,139,
6489,159,
21209,112,25.46
21209,14,26.46
21209,14,26.46
6489,15,
6489,638,
6489,166,
6489,92,
6518,288,75
6517,9,
6532,845,
21,9,
6533,638,
52,638,64.91
6529,728,
21209,9,25.46
21209,9,25.46
21209,9,25.46
21209,9,25.46
3226,173,99
6546,375,
2314,18,97.18
2314,28,97.18
2314,51,97.18
21961,3,4
21961,4,4
3226,173,99
3226,173,99
3226,173,99
7345,845,90
7345,845,90
7345,845,90
7345,845,90
2,364,
2,369,
2,369,
2,369,
2,369,
2,369,
2,369,
2,369,
2,369,
2,369,
2,369,
2,369,
2,369,
2,369,
2,369,
2,369,
2,369,
674,159,92
674,159,92
674,159,92
674,159,92
2040,955,
7345,878,90
7345,878,90
7345,878,90
7345,878,90
51,159,78
51,159,78
51,159,78
51,159,78
51,159,78
6505,100,44.19
6570,173,
6570,173,
46,13,
46,13,
6480,981,
1950,149,92.47
2040,955,
7345,845,90
7345,845,90
7345,845,90
7345,878,90
7345,878,90
7345,878,90
7345,878,90
7345,878,90
7345,878,90
7345,878,90
7345,878,90
6546,375,
7345,878,90
7345,903,90
7345,903,90
7345,903,90
7345,903,90
7345,903,90
7345,903,90
7345,903,90
7345,903,90
7345,903,90
7345,903,90
7345,903,90
7345,845,90
7345,845,90
7345,845,90
7345,845,90
7345,845,90
13136,244,56.58
12357,244,42.47
12357,246,40.47
12357,288,58.47
12357,328,39.47
12357,340,39.47
12357,342,39.47
12357,440,39.47
12357,442,39.47
12357,450,39.47
12357,458,39.47
12357,459,39.47
13900,492,61.7
13900,525,60.7
13900,1351,60.7
6480,997,
6480,997,
6480,998,
402,638,
7536,440,89
14817,765,50.71
12932,1012,80.41
7333,638,82.77
7333,878,82.77
9783,492,87.94
5,139,85
5,139,85
21961,1,4
21961,7,4
5,139,85
5,139,85
5,139,85
5,139,85
5,139,85
5,139,85
5,159,85
5,159,85
5,159,85
5,159,85
5,159,85
5,159,85
9135,244,87.95
9135,244,87.95
6461,492,90
6461,1351,90
28,760,
28,760,
28,760,
674,935,91
21073,16,
21073,43,
17578,1039,98
12323,440,57.82
19072,486,94.94
16809,129,
9,845,85.47
9,845,85.47
19555,2,86.38
19555,1012,85.38
6546,375,
117,9,
55,9,95
55,9,95
55,9,95
19574,36,86.47
17578,1039,98
17578,1039,98
17578,1039,98
17578,1039,98
17578,1039,98
17578,1039,98
17578,1039,98
17578,1039,98
17578,1039,98
5603,375,90.14
5603,375,90.14
5603,375,90.14
3487,166,83.71
3487,166,83.71
12966,903,90.24
3487,166,83.71
5603,711,90.14
5603,709,90.14
5603,709,90.14
5603,709,90.14
5603,709,90.14
5603,709,90.14
5603,709,90.14
5603,710,90.14
5603,710,90.14
5603,710,90.14
5603,710,90.14
5603,710,90.14
5603,710,90.14
5603,710,90.14
5603,710,90.14
5603,375,90.14
5603,375,90.14
5603,375,90.14
5603,375,90.14
5603,375,90.14
5603,709,90.14
5603,709,90.14
10690,638,59.24
10690,638,59.24
10690,638,59.24
5603,711,90.14
5603,711,90.14
5603,711,90.14
5603,716,90.14
5603,903,90.14
5603,903,90.14
5603,903,90.14
5603,903,90.14
5603,903,90.14
5603,711,90.14
5603,711,90.14
5603,711,90.14
5603,711,90.14
5603,716,90.14
5603,716,90.14
5603,716,90.14
5603,716,90.14
5603,716,90.14
5603,716,90.14
5603,716,90.14
5603,922,90.14
159,287,
5603,922,90.14
5603,922,90.14
5603,922,90.14
5603,63,89.14
5603,63,89.14
5603,63,89.14
5603,63,89.14
5603,63,89.14
5603,63,89.14
5603,63,89.14
5603,63,89.14
5603,903,90.14
5603,903,90.14
5603,903,90.14
5603,922,90.14
5603,922,90.14
5603,922,90.14
5603,922,90.14
17578,1039,98
17578,1039,98
17578,1039,98
6546,375,
159,287,
21209,14,26.46
21209,14,26.46
21209,14,26.46
21209,40,26.46
21209,40,26.46
21209,40,26.46
21209,40,26.46
21209,40,26.46
21209,43,26.46
21209,43,26.46
21209,43,26.46
21209,43,26.46
21209,43,26.46
52,638,64.91
21821,760,99
6461,492,90
2,350,
19574,53,86.47
17578,1040,98
17578,1040,98
17578,1040,98
17578,1040,98
17578,1040,98
17578,1040,98
17578,1040,98
52,638,64.91
1341,246,86.54
1341,271,86.54
13798,2,97
13798,11,97
13798,440,97
192,638,
17578,1040,98
21962,9,-11.41
4786,245,79.63
4786,272,79.63
4786,280,79.63
8255,531,65.77
8255,531,65.77
52,638,64.91
52,638,64.91
17578,1040,98
17578,1040,98
5697,603,76.36
5697,603,76.36
5697,603,76.36
5697,603,76.36
5697,603,76.36
5697,603,76.36
5697,603,76.36
5697,603,76.36
17578,1040,98
17578,1040,98
17578,1040,98
17578,1111,98
8545,728,42.29
8545,760,42.29
8545,772,42.29
8545,785,42.29
8545,793,42.29
8545,1111,42.29
201,464,93.71
4507,464,86.17
4507,464,86.17
201,464,93.71
201,464,93.71
6546,375,
12119,766,92.02
12119,772,92.02
12119,781,92.02
12119,1197,92.02
12119,1299,92.02
13159,638,60.94
80,515,61.8
80,515,61.8
80,515,61.8
192,638,
1356,9,90.13
80,515,61.8
